"bbpi";"curspeed";"depth";"oxigen";"ligth";"nitrate";"phosphate";"poc";"salinity";"silicate";"slope";"temperature";"PC1";"PC2";"PC3";"PC4"
"bbpi";1;0.0673655275268197;0.359675011373379;-0.0848270147159307;0.118896723096989;-0.152977626637886;-0.154447053244006;0.103489897514485;0.072519339014798;-0.226792336258942;0.257538172688992;0.254443296859943;0.296998526222446;0.35111396982453;0.252154178141818;0.556438906651432
"curspeed";0.0673655275268197;1;-0.118478505870228;-0.18649474089262;0.111675573761525;0.236640065863338;0.252012051410871;-0.0287165970111744;0.0313370558700647;0.336282867038516;-0.0396176702744537;-0.00847270688313398;-0.228398388041147;0.453866142454111;0.3686203045653;-0.259471925689456
"depth";0.359675011373379;-0.118478505870228;1;0.00216005244386827;0.191959191657504;-0.58714044107203;-0.50208093939454;0.66794009526212;-0.116928940040554;-0.664847803709931;0.134614647850686;0.712298503042481;0.776941071941778;-0.0141761096319872;0.430682425770229;0.189758965067626
"oxigen";-0.0848270147159307;-0.18649474089262;0.00216005244386827;1;-0.0404848333024834;-0.330256726548897;-0.371466366535039;-0.0030208843578184;-0.280356304119446;-0.25763098424705;-0.0400036412287773;-0.0992814444364;0.203387206519724;-0.667766217128583;-0.356938075935288;0.0279163001524553
"ligth";0.118896723096989;0.111675573761525;0.191959191657504;-0.0404848333024834;1;-0.32622703397831;-0.332611691069944;0.117946539532207;0.242725161318802;-0.157166965652036;-0.0376121675471577;0.496378485279701;0.394299765564161;0.476854798025675;-0.0783096415729365;-0.34880356451666
"nitrate";-0.152977626637886;0.236640065863338;-0.58714044107203;-0.330256726548897;-0.32622703397831;1;0.969429648388974;-0.512655542470189;-0.178919293704705;0.872436074467578;0.0204942602827956;-0.815350551305729;-0.946634539519939;0.0951320974235654;0.198380842338962;0.0862793618204165
"phosphate";-0.154447053244006;0.252012051410871;-0.50208093939454;-0.371466366535039;-0.332611691069944;0.969429648388974;1;-0.356949575642948;-0.304806709761249;0.87828392343462;-0.0131336060959664;-0.748426822758345;-0.906908173049913;0.0483687553846264;0.364423435986738;0.046379521133298
"poc";0.103489897514485;-0.0287165970111744;0.66794009526212;-0.0030208843578184;0.117946539532207;-0.512655542470189;-0.356949575642948;1;-0.354352177439746;-0.455491726952362;-0.132637951558422;0.64700183775817;0.63465669697756;-0.216705359119689;0.623703911961913;-0.17849929406223
"salinity";0.072519339014798;0.0313370558700647;-0.116928940040554;-0.280356304119446;0.242725161318802;-0.178919293704705;-0.304806709761249;-0.354352177439746;1;-0.136284832696237;0.0768869925618109;0.254464896510696;0.145283330968502;0.681477076690108;-0.599954483962335;-0.0441726884402541
"silicate";-0.226792336258942;0.336282867038516;-0.664847803709931;-0.25763098424705;-0.157166965652036;0.872436074467578;0.87828392343462;-0.455491726952362;-0.136284832696237;1;-0.0970827301544157;-0.66925579316583;-0.896735085961174;0.148462626547524;0.1619087583705;-0.152120927779125
"slope";0.257538172688992;-0.0396176702744537;0.134614647850686;-0.0400036412287773;-0.0376121675471577;0.0204942602827956;-0.0131336060959664;-0.132637951558422;0.0768869925618109;-0.0970827301544157;1;-0.0324179347383982;0.0392095360449997;0.205659801277047;-0.0501887410042923;0.8080274875704
"temperature";0.254443296859943;-0.00847270688313398;0.712298503042481;-0.0992814444364;0.496378485279701;-0.815350551305729;-0.748426822758345;0.64700183775817;0.254464896510696;-0.66925579316583;-0.0324179347383982;1;0.895174050056935;0.28564585104669;0.150738867697922;-0.184047929909306
"PC1";0.296998526222446;-0.228398388041147;0.776941071941778;0.203387206519724;0.394299765564161;-0.946634539519939;-0.906908173049913;0.63465669697756;0.145283330968502;-0.896735085961174;0.0392095360449997;0.895174050056935;1;5.51675111203212e-16;-2.95359063032044e-16;-6.23718408211493e-16
"PC2";0.35111396982453;0.453866142454111;-0.0141761096319872;-0.667766217128583;0.476854798025675;0.0951320974235654;0.0483687553846264;-0.216705359119689;0.681477076690108;0.148462626547524;0.205659801277047;0.28564585104669;5.51675111203212e-16;1;-5.92722714572014e-16;-9.43668319247551e-16
"PC3";0.252154178141818;0.3686203045653;0.430682425770229;-0.356938075935288;-0.0783096415729365;0.198380842338962;0.364423435986738;0.623703911961913;-0.599954483962335;0.1619087583705;-0.0501887410042923;0.150738867697922;-2.95359063032044e-16;-5.92722714572014e-16;1;1.50787388866136e-15
"PC4";0.556438906651432;-0.259471925689456;0.189758965067626;0.0279163001524553;-0.34880356451666;0.0862793618204165;0.046379521133298;-0.17849929406223;-0.0441726884402541;-0.152120927779125;0.8080274875704;-0.184047929909306;-6.23718408211493e-16;-9.43668319247551e-16;1.50787388866136e-15;1
